country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Lebanon,Middle East & North Africa,Upper middle income,Mawaridy,mawaridy.crdp.org,https://mawaridy.crdp.org/,,resource hub,,unknown,1,Tier 1,students,no,unknown,yes,unknown,yes,unknown,unknown,no,"Arabic
English
French",yes,True,True,False,
Lebanon,Middle East & North Africa,Upper middle income,Digital Library,mawaridy.crdp.org,https://mawaridy.crdp.org/Library/Index/1,,resource hub,,unknown,1,Tier 1,students,yes,no,yes,yes,yes,no,yes,no,"Arabic
English
French",yes,True,True,False,"For an FLN example, see this."
Lesotho,Sub-Saharan Africa,Lower middle income,,,,,,,unknown,1,Tier 1,,,,,,,,,,,,True,False,False,
Liberia,Sub-Saharan Africa,Low income,,,,,,,unknown,1,Tier 1,,,,,,,,,,,,True,False,False,
Libya,Middle East & North Africa,Upper middle income,School-ly ,school-ly.com,https://school-ly.com/school/,,other,,unknown,1,Tier 1,students,yes,no,yes,yes,unknown,no,unknown,no,Arabic,yes,True,True,False,It's supposed to be an LMS but really only qualifies as a resource hub (but there may be additional functionalities that qualify the platform as an LMS if the user is to sign in)
Madagascar,Sub-Saharan Africa,Low income,Kilasy pour tous,youtube.com,https://www.youtube.com/channel/UClAibAeKnGXg9EUZTKGf6rQ,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,no,no,no,no,"Malagasy, French",yes,True,True,False,This is a Youtube channel created by the Education minitry
Madagascar,Sub-Saharan Africa,Low income,Bibliothèque numérique,plateforme.education.mg,http://plateforme.education.mg/bibliotheque-numerique/?redirect=0,,resource hub,,national,1,Tier 1,students,yes,no,yes,yes,yes,no,no,no,"French, Deutch, English",no,True,True,False,Repository of educational resources
Malawi,Sub-Saharan Africa,Low income,MoE Malawi COVID-19 Support Group (on NotesMaster),old.notesmaster.com,https://old.notesmaster.com/en/group/malawi/25-moe-malawi-covid19-support-group,,other,Notesmaster,other,3,Other,students and teachers,yes,no,yes,yes,unknown,yes,no,no,English,no,True,True,False,This platform could be a combination of resource hub and LMS - it offers resources in the form of online courses. 
Malawi,Sub-Saharan Africa,Low income,TTC Digital Library,library.tikwere.org,https://library.tikwere.org/,,resource hub,,unknown,1,Tier 1,teachers,yes,no,yes,yes,unknown,no,no,yes,English,no,True,True,False,Inclusivity resources; This is a digital library for Malawi Teachers Training Colleges developed by the MoE. 
Malawi,Sub-Saharan Africa,Low income,TTC Malawi ,tikwere.org,https://tikwere.org/login/index.php,,LMS,,unknown,1,Tier 1,teachers,no,unknown,yes,unknown,unknown,unknown,unknown,unknown,English,no,True,True,False,"This is the Learning Management System for Malawi Teachers Training Colleges (TTC). Although there is a guest access option, all courses require sign-in except one for testing purpose, and there is no option to create an account. "
Malaysia,East Asia & Pacific,Upper middle income,Digital Educational Learning Initiative Malaysia (Delima 2.0),sites.google.com,https://sites.google.com/moe-dl.edu.my/delimaeng/home?authuser=1,,LMS,Google,unknown,1,Tier 1,students and teachers,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"English, Malay",yes,True,True,True,This platform requires sign-in but is blocked by google (requiring sensitive information)
Malaysia,East Asia & Pacific,Upper middle income,Eduweb TV,eduwebtv.moe.edu.my,http://eduwebtv.moe.edu.my/,,resource hub,YouTube,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,unknown,unknown,Malay,yes,True,True,False,The platform redirects users to different YouTube Channels that the MoE created.
